cupy_cross_corr_time,numpy_cross_corr_time,tensordot_numpy_cross_corr_time,cp_dot_computation_no_reshape_time,np_dot_computation_no_reshape_time,cupy_sliding_views_time,cupy_flatten_sliding_views_time,cupy_sliding_views_C-continguous,cupy_flatten_sliding_views_C-continguous,cupy_flattennb_inputs,inputs_side_len,nb_kernels,kernels_side_len,depth,numpy_to_cupy_speed_up,dot_fraction
0.21052324199990835,0.0005957249995844904,0.000665327999740839,0.0006932719988981262,6.955800199648365e-05,0.0005696740008716006,0.0007878629985498264,False,True,1,32,1,3,1,0.002829735063574357,0.003293090075529181
0.00785893899956136,0.0019884590001311153,0.002120551002008142,0.001297288999921875,0.000612555999396136,0.0010870990008697845,0.0015028400011942722,False,True,1,32,31,5,1,0.25301875994228984,0.1650717736827175
0.14071309800056042,0.0627147769992007,0.07302170399998431,0.002151930999389151,0.013484175997291459,0.007721379999566125,0.007871041998441797,False,True,201,32,1,3,1,0.4456925324673821,0.015293039738067457
0.002816387997881975,0.0013531000004149973,0.0013627330008603167,0.0012712789975921623,0.00025087600079132244,0.0010556699999142438,0.0014684069974464364,False,True,1,32,11,3,1,0.48043806515031917,0.45138631415423225
0.0027614610007731244,0.0013455389998853207,0.001486614997702418,0.0012296349996177014,0.00040621500011184253,0.001059550999343628,0.0014678719999210443,False,True,1,32,21,3,1,0.48725620224533717,0.44528421704070464
0.002877196999179432,0.0014778529985051136,0.0015992199987522326,0.0013130890001775697,0.000506362001033267,0.0010620449975249358,0.0014863590004097205,False,True,1,32,31,3,1,0.5136433128932753,0.4563778568349886
0.0026667800011637155,0.0014610110010835342,0.0016227449996222276,0.0011919629978365265,0.00031288199897971936,0.0010749860011856072,0.0015006520006863866,False,True,1,32,11,5,1,0.5478558412939897,0.44696712789070864
0.00264605999836931,0.0015467459998035338,0.0016220640027313493,0.0010610570025164634,0.00015110399908735417,0.00117992699961178,0.0015743520016258117,False,True,1,32,1,7,1,0.5845468359586511,0.4009950655579851
0.003007794999575708,0.001860815998952603,0.002050015002168948,0.0012138130005041603,0.00044254399836063385,0.0011970979976467788,0.0016494519986736123,False,True,1,32,11,7,1,0.6186645031377129,0.4035557611723491
0.0027846880002471153,0.001968869000847917,0.002634689000842627,0.001292413999181008,0.0006383710024238098,0.0011351819994160905,0.0016264570003841072,False,True,1,32,31,3,3,0.7070339659858477,0.4641144713757226
0.0027499419993546326,0.0019958440025220625,0.002713159999984782,0.0012682939996011555,0.004106575001060264,0.0011477019979793113,0.0015952889989421237,False,True,1,32,21,3,3,0.7257767629246199,0.46120754543143233
0.0027330960001563653,0.0020280709977669176,0.002209392998338444,0.0012528989973361604,0.0006422329970519058,0.0011363259982317686,0.0015506119998462964,False,True,1,32,21,5,1,0.7420416251938783,0.4584174859809095
0.013288993999594823,0.010087652000947855,0.003654521999123972,0.0011394829998607747,0.00034215299820061773,0.0013696040005015675,0.0017833950005297083,False,True,1,32,1,5,3,0.7590982433474968,0.08574637025914206
0.002670112000487279,0.0021332309988792986,0.0022465559995907824,0.0011855119992105756,0.0006953470001462847,0.0011848020003526472,0.0016290919993480202,False,True,1,32,21,7,1,0.7989294076390792,0.4439933602014548
0.0027878700020664837,0.0022356389999913517,0.002251138001156505,0.0012506400016718544,0.000649539000733057,0.0011782330002461094,0.0015871590003371239,False,True,1,32,31,7,1,0.8019165163132442,0.448600544768884
0.002838696000253549,0.0022866600011184346,0.0034786320029525086,0.0012902829985250719,0.0007236749988805968,0.0013293289994180668,0.0017312339987256564,False,True,1,32,31,5,3,0.8055318360663463,0.4545337008294743
