,nb_inputs,cross_corr,legacy_cross_corr,cp_dot_computation_no_reshape,np_dot_computation_no_reshape,inputs_side_len,nb_kernels,kernels_side_len,depth,speed_up
86,1,0.0011968850003540865,0.0008109810000860307,0.0008079570002337277,0.00017241199975615018,32,11,6,1,0.6775763752124139
32,1,0.0011803309998867917,0.0007998599999154976,0.0006312639998213854,0.00010906300030910643,32,6,4,1,0.6776573689856609
90,1,0.0010116349999407248,0.0006869040003039117,0.0006605089997719915,0.00014131600028122193,32,12,3,1,0.679003791233162
70,1,0.0010152690001632436,0.0006894140001350024,0.0006420069998966937,0.00011635500004558708,32,10,3,1,0.6790456519643095
200,1,0.0010942660001092008,0.0007500329998038069,0.0007915979999779665,0.00013253299994175904,32,23,3,1,0.685421094805978
180,1,0.0011170249999850057,0.0007715110000390268,0.0008230799999182636,0.00014124899962553172,32,21,3,1,0.6906837358603283
262,1,0.0011590960002649808,0.0008009719999790832,0.0008439670000370825,0.00017373700029565953,32,29,4,1,0.6910316313713213
242,1,0.0011219340003663092,0.0007788650000293273,0.0008322469998347515,0.00017774299976736074,32,27,4,1,0.694216415381858
22,1,0.001141601999734121,0.0007930940000733244,0.000653498999781732,0.0001156100001935556,32,5,4,1,0.694720226714771
142,1,0.0011212660001547192,0.0007789769997543772,0.0007753099998808466,0.00014565399987986893,32,17,4,1,0.6947298853678691
72,1,0.0010612730002321769,0.0007431859999087465,0.0006308629999693949,0.00010276500006511924,32,10,4,1,0.7002778735972348
192,1,0.0011073870000473107,0.0007766900002934563,0.0007637339999746473,0.00014914999974280363,32,22,4,1,0.7013717880562746
54,1,0.0012124119998588867,0.0008614939997642068,0.0007754419998491358,0.00012695599980361294,32,8,5,1,0.7105620860437513
286,1,0.001438374999906955,0.0010230799998680595,0.001146711000274081,0.00018698799976846203,32,31,6,1,0.7112748761166178
212,1,0.001087016999917978,0.0007736630000181322,0.0008062970000537462,0.00014318300009108498,32,24,4,1,0.7117303593931923
232,1,0.0011006909999196068,0.000783452000177931,0.0008463359999950626,0.0001643069999772706,32,26,4,1,0.7117819626354294
291,1,0.0011510979998092807,0.0008229869999922812,0.0009291070000472246,0.0001790449996406096,32,32,3,3,0.7149582399835961
268,1,0.0009215810000569036,0.0006594669998776226,0.0010414049997962138,0.0001802069996301725,32,29,7,1,0.7155822438146006
278,1,0.0009222440003213705,0.0006600379997507844,0.0009665990000939928,0.00019807400030913414,32,30,7,1,0.7156869543426508
162,1,0.0010904159998972318,0.0007827809999980673,0.0007499899998038018,0.00014410699986910913,32,19,4,1,0.7178737289913592
112,1,0.001033646999985649,0.0007457219999196241,0.000696308999977191,0.00013758099976257654,32,14,4,1,0.721447457333091
252,1,0.001117493000037939,0.000806737999937468,0.0008710699999028293,0.0001519249999546446,32,28,4,1,0.721917721104364
182,1,0.0010519479997128656,0.0007616910002070654,0.0007684369998059992,0.00014488599981632433,32,21,4,1,0.7240766657809823
62,1,0.0010137199997188873,0.0007351330000346934,0.0006211670001903258,0.00012944700029038358,32,9,4,1,0.7251834828537976
92,1,0.001027172999783943,0.0007497850001527695,0.0006547800003318116,0.00011893400005646981,32,12,4,1,0.7299500671361887
122,1,0.0010237020001113706,0.0007486570002583903,0.0006840049995844311,0.0001268519999939599,32,15,4,1,0.7313231782070783
82,1,0.0010208300000158488,0.0007477299996025977,0.0006401360001291323,0.00012655599994104705,32,11,4,1,0.7324725954282191
254,1,0.0011445299996921676,0.0008416460000262305,0.0009169609998025408,0.00017948200002138037,32,28,5,1,0.7353638613689456
271,1,0.0011024999998880958,0.0008133269998324977,0.0009320619997197355,0.00016779000043243286,32,30,3,3,0.7377115645487988
44,1,0.0011950630000683304,0.000884611999936169,0.0007828289999451954,0.00010840100003406405,32,7,5,1,0.7402220635109524
10,1,0.001139664000220364,0.000844790999963152,0.0006801530003031075,0.00012025299974993686,32,4,3,1,0.7412632142454305
152,1,0.001062863999777619,0.0007890639999459381,0.0007108750000952568,0.0001640250002310495,32,18,4,1,0.7423941351960669
202,1,0.0010712369999055227,0.0008009879998098768,0.0007844190004107077,0.00014288900001702132,32,23,4,1,0.7477224926701744
12,1,0.0011074509998252324,0.0008283739998660167,0.0006239509998522408,0.00013723499978368636,32,4,4,1,0.7480005887364253
264,1,0.0011095730001215998,0.0008326559996021388,0.0009320469998783665,0.0002056589996755065,32,29,5,1,0.7504292187272823
14,1,0.001159755000117002,0.000871577999987494,0.0007193609999376349,0.00011044600023524254,32,4,5,1,0.7515190707516369
